attack_type,security_tools_used,industry
Business Email Compromise,Email Filtering,Retail
Phishing,Email Filtering,Energy
DDoS,DDoS Mitigation,Healthcare
Phishing,Email Filtering,Utilities
Malware,Antivirus,Technology
Phishing,MFA,Technology
DDoS,DDoS Mitigation,Transportation
Ransomware,Offline Backups,Retail
Phishing,IDS,Transportation
SQL Injection,WAF,Retail
Ransomware,Antivirus,Healthcare
Ransomware,Offline Backups,Technology
Ransomware,SIEM,Energy
Ransomware,Offline Backups,Technology
Ransomware,SIEM,Retail
Zero-Day Exploit,EDR,Manufacturing
DDoS,DDoS Mitigation,Technology
Credential Stuffing,IDS,Energy
Cross-Site Scripting,WAF,Transportation
Phishing,DMARC,Healthcare
Ransomware,EDR,Manufacturing
Ransomware,Offline Backups,Manufacturing
Ransomware,Antivirus,Manufacturing
Malware,EDR,Energy
Phishing,Email Filtering,Technology
Brute Force,MFA,Healthcare
DDoS,Firewall,Government
Zero-Day Exploit,Firewall,Government
DDoS,DDoS Mitigation,Technology
Credential Stuffing,MFA,Education
Phishing,MFA,Technology
Ransomware,EDR,Healthcare
Phishing,SIEM,Education
Supply Chain Compromise,IDS,Manufacturing
Business Email Compromise,SIEM,Utilities
Phishing,MFA,Finance
Business Email Compromise,DMARC,Education
DDoS,DDoS Mitigation,Manufacturing
Phishing,Email Filtering,Technology
DDoS,DDoS Mitigation,Education
Credential Stuffing,SIEM,Energy
Phishing,Email Filtering,Education
Credential Stuffing,Account Lockout,Healthcare
Ransomware,SIEM,Finance
Brute Force,MFA,Technology
Phishing,MFA,Healthcare
Business Email Compromise,Email Filtering,Finance
Phishing,Email Filtering,Retail
Credential Stuffing,Account Lockout,Finance
Business Email Compromise,DMARC,Healthcare
DDoS,CDN Scrubbing,Energy
Cross-Site Scripting,Content Security Policy,Utilities
Brute Force,SIEM,Technology
Phishing,MFA,Energy
Business Email Compromise,SIEM,Energy
Brute Force,SIEM,Healthcare
SQL Injection,WAF,Retail
Insider Threat,SIEM,Transportation
Supply Chain Compromise,IDS,Government
Ransomware,EDR,Manufacturing
Brute Force,Account Lockout,Finance
Phishing,Email Filtering,Government
Ransomware,Offline Backups,Finance
SQL Injection,Database Firewall,Manufacturing
DDoS,DDoS Mitigation,Manufacturing
Malware,Antivirus,Energy
Phishing,Email Filtering,Technology
Ransomware,Antivirus,Transportation
Phishing,SIEM,Technology
Ransomware,Antivirus,Energy
Credential Stuffing,MFA,Manufacturing
SQL Injection,WAF,Energy
Business Email Compromise,DMARC,Energy
Zero-Day Exploit,EDR,Technology
Malware,Antivirus,Healthcare
SQL Injection,WAF,Education
Ransomware,Antivirus,Government
Ransomware,EDR,Finance
DDoS,Firewall,Technology
Phishing,Email Filtering,Education
Phishing,Email Filtering,Government
Ransomware,SIEM,Technology
Malware,EDR,Finance
Phishing,DMARC,Manufacturing
Credential Stuffing,Account Lockout,Energy
DDoS,Firewall,Energy
Ransomware,EDR,Technology
Supply Chain Compromise,IDS,Healthcare
Phishing,Email Filtering,Healthcare
Ransomware,EDR,Manufacturing
Ransomware,SIEM,Transportation
Ransomware,Antivirus,Government
Brute Force,Account Lockout,Technology
Phishing,MFA,Manufacturing
Malware,Antivirus,Manufacturing
Credential Stuffing,Account Lockout,Retail
Phishing,Email Filtering,Healthcare
Phishing,Email Filtering,Healthcare
Malware,EDR,Transportation
SQL Injection,WAF,Finance
Phishing,Email Filtering,Energy
Phishing,Email Filtering,Manufacturing
DDoS,WAF,Healthcare
Phishing,IDS,Education
Credential Stuffing,Account Lockout,Energy
Phishing,MFA,Government
Brute Force,Account Lockout,Finance
Phishing,MFA,Healthcare
Ransomware,EDR,Finance
Malware,SIEM,Manufacturing
Brute Force,Account Lockout,Healthcare
Phishing,MFA,Finance
DDoS,CDN Scrubbing,Manufacturing
SQL Injection,SIEM,Healthcare
Supply Chain Compromise,EDR,Manufacturing
Phishing,Email Filtering,Healthcare
SQL Injection,WAF,Energy
Zero-Day Exploit,SIEM,Transportation
DDoS,Firewall,Manufacturing
Phishing,MFA,Healthcare
Credential Stuffing,MFA,Energy
Malware,Antivirus,Manufacturing
Phishing,DMARC,Government
SQL Injection,Database Firewall,Manufacturing
Ransomware,EDR,Retail
Zero-Day Exploit,SIEM,Healthcare
DDoS,Firewall,Government
DDoS,CDN Scrubbing,Finance
Brute Force,MFA,Manufacturing
Ransomware,Offline Backups,Technology
Ransomware,Antivirus,Finance
Malware,EDR,Utilities
Brute Force,MFA,Technology
Credential Stuffing,Account Lockout,Manufacturing
Business Email Compromise,Email Filtering,Finance
Credential Stuffing,MFA,Healthcare
Malware,Antivirus,Education
Ransomware,EDR,Energy
Cross-Site Scripting,WAF,Manufacturing
Supply Chain Compromise,EDR,Finance
Malware,Antivirus,Retail
Malware,EDR,Healthcare
Malware,Antivirus,Retail
Ransomware,SIEM,Technology
SQL Injection,WAF,Technology
Cross-Site Scripting,Content Security Policy,Finance
DDoS,CDN Scrubbing,Finance
Phishing,Email Filtering,Retail
Credential Stuffing,MFA,Technology
Malware,EDR,Government
Phishing,DMARC,Technology
DDoS,DDoS Mitigation,Retail
Phishing,DMARC,Healthcare
Business Email Compromise,MFA,Finance
Supply Chain Compromise,Firewall,Technology
Credential Stuffing,Account Lockout,Healthcare
Malware,SIEM,Manufacturing
SQL Injection,Database Firewall,Finance
Ransomware,Offline Backups,Manufacturing
Ransomware,Antivirus,Technology
Brute Force,MFA,Technology
DDoS,DDoS Mitigation,Retail
Phishing,MFA,Utilities
Zero-Day Exploit,SIEM,Energy
DDoS,Firewall,Utilities
Zero-Day Exploit,EDR,Transportation
Credential Stuffing,MFA,Manufacturing
Ransomware,EDR,Healthcare
Ransomware,Antivirus,Healthcare
Phishing,Email Filtering,Manufacturing
Phishing,MFA,Energy
Brute Force,Account Lockout,Education
Phishing,Email Filtering,Finance
Phishing,Email Filtering,Education
Brute Force,MFA,Retail
Business Email Compromise,MFA,Technology
Business Email Compromise,MFA,Manufacturing
DDoS,DDoS Mitigation,Transportation
Malware,Antivirus,Retail
Credential Stuffing,Account Lockout,Technology
Ransomware,EDR,Manufacturing
Phishing,DMARC,Government
Business Email Compromise,DMARC,Energy
SQL Injection,Database Firewall,Finance
Malware,Antivirus,Utilities
Phishing,MFA,Technology
Phishing,MFA,Transportation
Malware,EDR,Retail
Malware,SIEM,Government
Business Email Compromise,Email Filtering,Education
Supply Chain Compromise,EDR,Energy
DDoS,CDN Scrubbing,Healthcare
Cross-Site Scripting,Content Security Policy,Energy
Malware,Antivirus,Finance
Credential Stuffing,IDS,Manufacturing
Credential Stuffing,MFA,Retail
SQL Injection,WAF,Finance
Phishing,Email Filtering,Finance
SQL Injection,Database Firewall,Technology
SQL Injection,WAF,Manufacturing
Phishing,MFA,Manufacturing
Cross-Site Scripting,SIEM,Government
Phishing,IDS,Healthcare
Phishing,MFA,Retail
Phishing,Email Filtering,Finance
Phishing,MFA,Healthcare
Malware,EDR,Healthcare
Cross-Site Scripting,WAF,Technology
Malware,SIEM,Education
Ransomware,EDR,Transportation
Business Email Compromise,MFA,Technology
Ransomware,EDR,Manufacturing
DDoS,Firewall,Finance
Business Email Compromise,SIEM,Technology
Brute Force,MFA,Finance
Ransomware,Antivirus,Technology
Ransomware,EDR,Retail
Ransomware,EDR,Healthcare
DDoS,CDN Scrubbing,Education
Phishing,MFA,Technology
Brute Force,Account Lockout,Healthcare
DDoS,CDN Scrubbing,Education
DDoS,DDoS Mitigation,Technology
Phishing,Email Filtering,Manufacturing
Phishing,SIEM,Manufacturing
Ransomware,EDR,Retail
Phishing,MFA,Finance
SQL Injection,WAF,Finance
Ransomware,Antivirus,Manufacturing
Cross-Site Scripting,SIEM,Manufacturing
Credential Stuffing,Account Lockout,Technology
Supply Chain Compromise,SIEM,Technology
Ransomware,Offline Backups,Technology
Phishing,Email Filtering,Finance
Ransomware,Antivirus,Government
DDoS,WAF,Retail
Phishing,Email Filtering,Finance
Phishing,Email Filtering,Finance
Malware,SIEM,Healthcare
Malware,EDR,Finance
Ransomware,SIEM,Manufacturing
Malware,Antivirus,Retail
Business Email Compromise,DMARC,Technology
Phishing,DMARC,Finance
Business Email Compromise,DMARC,Energy
Phishing,MFA,Technology
DDoS,DDoS Mitigation,Manufacturing
Malware,Antivirus,Education
SQL Injection,Database Firewall,Technology
Ransomware,EDR,Technology
Supply Chain Compromise,IDS,Healthcare
Phishing,SIEM,Technology
DDoS,CDN Scrubbing,Finance
Malware,EDR,Energy
Phishing,Email Filtering,Government
Phishing,Email Filtering,Finance
Zero-Day Exploit,SIEM,Government
Ransomware,Antivirus,Energy
Credential Stuffing,Account Lockout,Manufacturing
Ransomware,EDR,Finance
Phishing,MFA,Manufacturing
Zero-Day Exploit,SIEM,Healthcare
Ransomware,EDR,Government
SQL Injection,WAF,Government
Phishing,DMARC,Education
Cross-Site Scripting,Content Security Policy,Finance
Ransomware,Offline Backups,Manufacturing
Malware,Antivirus,Manufacturing
Brute Force,Account Lockout,Healthcare
Malware,EDR,Technology
SQL Injection,Database Firewall,Finance
Phishing,Email Filtering,Retail
Malware,Antivirus,Manufacturing
Ransomware,EDR,Manufacturing
Ransomware,Antivirus,Manufacturing
Phishing,Email Filtering,Government
Phishing,Email Filtering,Healthcare
Ransomware,Offline Backups,Manufacturing
Ransomware,Offline Backups,Technology
Phishing,Email Filtering,Healthcare
Cross-Site Scripting,SIEM,Technology
Zero-Day Exploit,Firewall,Energy
Phishing,Email Filtering,Healthcare
Cross-Site Scripting,WAF,Manufacturing
Phishing,DMARC,Healthcare
Credential Stuffing,MFA,Manufacturing
Phishing,MFA,Education
Malware,SIEM,Retail
Ransomware,Antivirus,Technology
Brute Force,SIEM,Finance
DDoS,WAF,Healthcare
Credential Stuffing,Account Lockout,Technology
Cross-Site Scripting,Content Security Policy,Healthcare
Brute Force,Account Lockout,Energy
Credential Stuffing,Account Lockout,Government
Ransomware,SIEM,Healthcare
SQL Injection,WAF,Government
SQL Injection,Database Firewall,Manufacturing
Brute Force,Account Lockout,Healthcare
DDoS,WAF,Manufacturing
Credential Stuffing,MFA,Healthcare
Ransomware,Antivirus,Healthcare
Ransomware,Offline Backups,Education
Ransomware,EDR,Healthcare
Credential Stuffing,MFA,Technology
Malware,Antivirus,Manufacturing
Malware,Antivirus,Manufacturing
DDoS,Firewall,Healthcare
Supply Chain Compromise,SIEM,Manufacturing
Phishing,MFA,Healthcare
Brute Force,MFA,Manufacturing
Ransomware,Antivirus,Manufacturing
Phishing,MFA,Retail
Brute Force,MFA,Transportation
Malware,EDR,Manufacturing
Credential Stuffing,Account Lockout,Retail
Credential Stuffing,MFA,Retail
Ransomware,Antivirus,Finance
Zero-Day Exploit,SIEM,Retail
Phishing,MFA,Finance
Phishing,MFA,Education
Business Email Compromise,Email Filtering,Manufacturing
Business Email Compromise,DMARC,Technology
Malware,Antivirus,Retail
SQL Injection,WAF,Education
Ransomware,Antivirus,Technology
Phishing,SIEM,Utilities
Credential Stuffing,SIEM,Retail
Brute Force,MFA,Retail
DDoS,DDoS Mitigation,Energy
Malware,IDS,Government
Supply Chain Compromise,SIEM,Finance
Ransomware,EDR,Government
Credential Stuffing,Account Lockout,Manufacturing
Phishing,MFA,Transportation
Credential Stuffing,Account Lockout,Energy
DDoS,DDoS Mitigation,Retail
Cross-Site Scripting,WAF,Manufacturing
Zero-Day Exploit,SIEM,Healthcare
Malware,EDR,Healthcare
Credential Stuffing,Account Lockout,Healthcare
Brute Force,Account Lockout,Retail
Brute Force,Account Lockout,Education
DDoS,DDoS Mitigation,Retail
Zero-Day Exploit,IDS,Technology
Ransomware,EDR,Transportation
DDoS,DDoS Mitigation,Energy
Ransomware,SIEM,Retail
SQL Injection,Database Firewall,Technology
Phishing,DMARC,Retail
Brute Force,Account Lockout,Technology
Business Email Compromise,Email Filtering,Manufacturing
DDoS,Firewall,Finance
Phishing,Email Filtering,Retail
SQL Injection,WAF,Healthcare
DDoS,CDN Scrubbing,Education
Phishing,DMARC,Energy
Credential Stuffing,MFA,Finance
Phishing,MFA,Manufacturing
Malware,SIEM,Manufacturing
Phishing,MFA,Retail
Ransomware,EDR,Energy
Phishing,IDS,Finance
Supply Chain Compromise,SIEM,Manufacturing
Phishing,Email Filtering,Manufacturing
Ransomware,EDR,Healthcare
Phishing,Email Filtering,Retail
Supply Chain Compromise,EDR,Technology
Malware,IDS,Manufacturing
Credential Stuffing,MFA,Finance
SQL Injection,Database Firewall,Energy
Phishing,SIEM,Technology
DDoS,DDoS Mitigation,Manufacturing
Ransomware,Antivirus,Finance
Phishing,DMARC,Education
Ransomware,EDR,Manufacturing
Phishing,MFA,Manufacturing
Zero-Day Exploit,SIEM,Finance
Cross-Site Scripting,WAF,Healthcare
Malware,IDS,Education
Ransomware,Antivirus,Retail
Credential Stuffing,MFA,Manufacturing
Malware,Antivirus,Education
Supply Chain Compromise,EDR,Retail
Malware,Antivirus,Finance
Brute Force,Account Lockout,Healthcare
Phishing,Email Filtering,Retail
Ransomware,SIEM,Education
Credential Stuffing,SIEM,Manufacturing
Phishing,Email Filtering,Technology
Credential Stuffing,Account Lockout,Transportation
Credential Stuffing,MFA,Technology
Credential Stuffing,IDS,Manufacturing
Phishing,DMARC,Manufacturing
Phishing,MFA,Retail
Phishing,MFA,Retail
DDoS,DDoS Mitigation,Manufacturing
Ransomware,Offline Backups,Healthcare
Malware,Antivirus,Finance
Ransomware,EDR,Retail
DDoS,DDoS Mitigation,Manufacturing
Malware,Antivirus,Technology
Cross-Site Scripting,WAF,Finance
Brute Force,MFA,Manufacturing
Ransomware,SIEM,Healthcare
Brute Force,Account Lockout,Education
Phishing,Email Filtering,Education
Ransomware,EDR,Healthcare
Credential Stuffing,IDS,Energy
Supply Chain Compromise,Firewall,Retail
Ransomware,EDR,Utilities
DDoS,DDoS Mitigation,Transportation
Brute Force,Account Lockout,Finance
Ransomware,Offline Backups,Technology
Ransomware,Antivirus,Manufacturing
Malware,Antivirus,Finance
Business Email Compromise,Email Filtering,Technology
Ransomware,EDR,Retail
Phishing,Email Filtering,Manufacturing
Phishing,MFA,Energy
Malware,IDS,Transportation
SQL Injection,WAF,Healthcare
Ransomware,Offline Backups,Retail
Malware,IDS,Energy
Malware,Antivirus,Finance
Brute Force,Account Lockout,Transportation
Phishing,DMARC,Finance
Cross-Site Scripting,WAF,Healthcare
Phishing,DMARC,Technology
Ransomware,Antivirus,Technology
SQL Injection,WAF,Healthcare
Malware,EDR,Government
Phishing,DMARC,Finance
Phishing,Email Filtering,Technology
Zero-Day Exploit,SIEM,Technology
Ransomware,Offline Backups,Technology
SQL Injection,WAF,Technology
Phishing,Email Filtering,Finance
Zero-Day Exploit,IDS,Healthcare
SQL Injection,WAF,Energy
Malware,EDR,Education
DDoS,DDoS Mitigation,Finance
Phishing,Email Filtering,Retail
Zero-Day Exploit,EDR,Transportation
Insider Threat,IDS,Manufacturing
Phishing,MFA,Manufacturing
DDoS,Firewall,Manufacturing
SQL Injection,Database Firewall,Technology
Ransomware,Antivirus,Healthcare
Zero-Day Exploit,EDR,Finance
Phishing,Email Filtering,Technology
Credential Stuffing,MFA,Manufacturing
Malware,IDS,Technology
Phishing,DMARC,Manufacturing
Phishing,Email Filtering,Finance
Malware,Antivirus,Healthcare
Malware,EDR,Manufacturing
Ransomware,Offline Backups,Manufacturing
Business Email Compromise,MFA,Retail
SQL Injection,Database Firewall,Healthcare
Zero-Day Exploit,EDR,Retail
Phishing,DMARC,Energy
Ransomware,EDR,Finance
Phishing,MFA,Manufacturing
SQL Injection,Database Firewall,Finance
Business Email Compromise,DMARC,Manufacturing
DDoS,Firewall,Energy
Credential Stuffing,MFA,Government
Ransomware,EDR,Technology
Phishing,Email Filtering,Healthcare
DDoS,DDoS Mitigation,Retail
Malware,Antivirus,Finance
Credential Stuffing,MFA,Manufacturing
SQL Injection,Database Firewall,Government
Supply Chain Compromise,SIEM,Healthcare
Ransomware,EDR,Education
Phishing,MFA,Energy
DDoS,CDN Scrubbing,Healthcare
DDoS,Firewall,Healthcare
DDoS,WAF,Technology
Ransomware,EDR,Energy
SQL Injection,WAF,Manufacturing
Credential Stuffing,Account Lockout,Healthcare
Ransomware,EDR,Retail
Zero-Day Exploit,SIEM,Manufacturing
SQL Injection,WAF,Manufacturing
Phishing,Email Filtering,Government
Ransomware,EDR,Finance
Cross-Site Scripting,Content Security Policy,Finance
Business Email Compromise,Email Filtering,Healthcare
Phishing,DMARC,Finance
Cross-Site Scripting,WAF,Finance
Credential Stuffing,Account Lockout,Technology
Ransomware,Offline Backups,Transportation
Ransomware,Antivirus,Manufacturing
Ransomware,EDR,Technology
Phishing,MFA,Energy
Phishing,DMARC,Healthcare
Phishing,MFA,Transportation
DDoS,CDN Scrubbing,Technology
Ransomware,Offline Backups,Manufacturing
Phishing,DMARC,Manufacturing
Cross-Site Scripting,WAF,Healthcare
Credential Stuffing,Account Lockout,Education
Malware,EDR,Transportation
Phishing,Email Filtering,Finance
Credential Stuffing,MFA,Manufacturing
Credential Stuffing,MFA,Technology
Malware,EDR,Technology
Credential Stuffing,SIEM,Healthcare
Ransomware,EDR,Manufacturing
Ransomware,Antivirus,Technology
Brute Force,Account Lockout,Technology
Zero-Day Exploit,SIEM,Retail
Supply Chain Compromise,SIEM,Technology
Malware,SIEM,Manufacturing
DDoS,WAF,Manufacturing
Phishing,DMARC,Retail
Phishing,Email Filtering,Retail
Malware,Antivirus,Manufacturing
Business Email Compromise,MFA,Energy
Phishing,DMARC,Retail
Ransomware,EDR,Manufacturing
DDoS,CDN Scrubbing,Healthcare
SQL Injection,WAF,Utilities
Ransomware,EDR,Technology
Credential Stuffing,Account Lockout,Healthcare
Phishing,Email Filtering,Finance
Phishing,MFA,Healthcare
Ransomware,EDR,Government
Credential Stuffing,IDS,Government
Malware,Antivirus,Energy
Phishing,MFA,Finance
Credential Stuffing,Account Lockout,Retail
Malware,EDR,Healthcare
Brute Force,Account Lockout,Education
Zero-Day Exploit,IDS,Manufacturing
Business Email Compromise,DMARC,Healthcare
Phishing,IDS,Utilities
Ransomware,Antivirus,Transportation
Credential Stuffing,Account Lockout,Finance
Phishing,MFA,Finance
Ransomware,Antivirus,Manufacturing
Ransomware,EDR,Retail
Credential Stuffing,Account Lockout,Manufacturing
Cross-Site Scripting,WAF,Healthcare
Ransomware,Antivirus,Technology
Brute Force,MFA,Education
Phishing,Email Filtering,Transportation
Malware,EDR,Utilities
DDoS,Firewall,Government
Business Email Compromise,DMARC,Healthcare
Brute Force,Account Lockout,Manufacturing
Supply Chain Compromise,EDR,Technology
SQL Injection,WAF,Healthcare
Business Email Compromise,MFA,Retail
Cross-Site Scripting,WAF,Technology
Phishing,SIEM,Education
Phishing,MFA,Technology
Malware,IDS,Technology
Zero-Day Exploit,EDR,Government
Phishing,MFA,Finance
SQL Injection,SIEM,Healthcare
Malware,EDR,Retail
Ransomware,Antivirus,Finance
Zero-Day Exploit,Firewall,Manufacturing
Phishing,Email Filtering,Technology
Brute Force,MFA,Education
Credential Stuffing,IDS,Healthcare
Phishing,MFA,Technology
Malware,IDS,Healthcare
Ransomware,Antivirus,Finance
Credential Stuffing,Account Lockout,Utilities
Supply Chain Compromise,SIEM,Healthcare
Phishing,Email Filtering,Energy
Phishing,DMARC,Energy
Brute Force,Account Lockout,Healthcare
Phishing,Email Filtering,Government
Malware,EDR,Utilities
Malware,EDR,Transportation
Phishing,Email Filtering,Finance
SQL Injection,SIEM,Manufacturing
Zero-Day Exploit,SIEM,Manufacturing
Ransomware,EDR,Healthcare
Malware,SIEM,Finance
Cross-Site Scripting,WAF,Technology
Phishing,DMARC,Retail
Ransomware,Antivirus,Government
Ransomware,Antivirus,Manufacturing
Phishing,DMARC,Education
DDoS,WAF,Manufacturing
SQL Injection,WAF,Healthcare
Malware,Antivirus,Energy
Ransomware,Offline Backups,Manufacturing
Ransomware,Antivirus,Healthcare
Ransomware,Antivirus,Utilities
DDoS,WAF,Education
DDoS,CDN Scrubbing,Energy
SQL Injection,WAF,Manufacturing
DDoS,DDoS Mitigation,Healthcare
Malware,IDS,Healthcare
Insider Threat,EDR,Manufacturing
Ransomware,Antivirus,Utilities
Credential Stuffing,Account Lockout,Manufacturing
Phishing,Email Filtering,Government
Ransomware,Antivirus,Manufacturing
Ransomware,Offline Backups,Finance
Phishing,IDS,Manufacturing
Cross-Site Scripting,SIEM,Manufacturing
Phishing,Email Filtering,Healthcare
Phishing,DMARC,Education
Ransomware,Offline Backups,Retail
SQL Injection,WAF,Retail
Phishing,DMARC,Healthcare
Credential Stuffing,MFA,Government
SQL Injection,WAF,Retail
Ransomware,EDR,Technology
Zero-Day Exploit,Firewall,Retail
Zero-Day Exploit,SIEM,Energy
Phishing,DMARC,Transportation
Phishing,Email Filtering,Utilities
Credential Stuffing,MFA,Technology
Ransomware,Antivirus,Manufacturing
Credential Stuffing,MFA,Healthcare
Credential Stuffing,MFA,Manufacturing
SQL Injection,Database Firewall,Healthcare
Credential Stuffing,Account Lockout,Technology
DDoS,Firewall,Retail
Brute Force,MFA,Finance
Phishing,MFA,Retail
Cross-Site Scripting,WAF,Utilities
Phishing,SIEM,Manufacturing
Brute Force,MFA,Manufacturing
Malware,EDR,Retail
Cross-Site Scripting,Content Security Policy,Finance
Credential Stuffing,Account Lockout,Technology
Ransomware,Antivirus,Energy
SQL Injection,WAF,Manufacturing
Ransomware,EDR,Finance
Ransomware,EDR,Transportation
Phishing,Email Filtering,Technology
Ransomware,Antivirus,Finance
Cross-Site Scripting,WAF,Manufacturing
Supply Chain Compromise,Firewall,Healthcare
Phishing,Email Filtering,Manufacturing
Phishing,MFA,Finance
DDoS,DDoS Mitigation,Finance
Malware,Antivirus,Transportation
Zero-Day Exploit,EDR,Retail
Credential Stuffing,MFA,Manufacturing
Phishing,DMARC,Energy
Phishing,DMARC,Healthcare
Ransomware,Offline Backups,Retail
Credential Stuffing,MFA,Healthcare
Ransomware,EDR,Government
DDoS,DDoS Mitigation,Education
DDoS,DDoS Mitigation,Manufacturing
Ransomware,EDR,Finance
Ransomware,Offline Backups,Finance
Ransomware,Antivirus,Healthcare
Ransomware,EDR,Healthcare
Phishing,MFA,Retail
Malware,EDR,Healthcare
Credential Stuffing,MFA,Manufacturing
Ransomware,Offline Backups,Government
SQL Injection,SIEM,Retail
DDoS,DDoS Mitigation,Healthcare
SQL Injection,SIEM,Transportation
Business Email Compromise,Email Filtering,Education
Business Email Compromise,Email Filtering,Transportation
Ransomware,EDR,Finance
Business Email Compromise,Email Filtering,Healthcare
SQL Injection,WAF,Manufacturing
Malware,EDR,Transportation
Ransomware,Antivirus,Education
Phishing,Email Filtering,Government
Malware,EDR,Finance
Brute Force,MFA,Technology
Ransomware,SIEM,Retail
Cross-Site Scripting,WAF,Manufacturing
Malware,IDS,Finance
Business Email Compromise,DMARC,Retail
Phishing,MFA,Government
SQL Injection,Database Firewall,Technology
Credential Stuffing,Account Lockout,Government
Brute Force,MFA,Manufacturing
Credential Stuffing,MFA,Healthcare
Credential Stuffing,IDS,Manufacturing
Ransomware,Offline Backups,Healthcare
Ransomware,EDR,Healthcare
Phishing,DMARC,Technology
Brute Force,Account Lockout,Technology
Phishing,MFA,Technology
Phishing,Email Filtering,Finance
Phishing,MFA,Government
SQL Injection,Database Firewall,Manufacturing
Credential Stuffing,SIEM,Technology
Phishing,DMARC,Manufacturing
Phishing,DMARC,Manufacturing
Phishing,Email Filtering,Finance
Ransomware,EDR,Education
Malware,IDS,Healthcare
Phishing,MFA,Technology
Phishing,MFA,Healthcare
Brute Force,MFA,Manufacturing
Phishing,DMARC,Education
Phishing,IDS,Finance
Phishing,Email Filtering,Retail
Phishing,Email Filtering,Education
DDoS,DDoS Mitigation,Finance
DDoS,CDN Scrubbing,Manufacturing
Ransomware,EDR,Retail
Supply Chain Compromise,IDS,Government
Business Email Compromise,Email Filtering,Technology
Cross-Site Scripting,Content Security Policy,Finance
Phishing,DMARC,Technology
Ransomware,SIEM,Healthcare
Phishing,Email Filtering,Retail
Malware,EDR,Healthcare
Credential Stuffing,Account Lockout,Healthcare
Credential Stuffing,MFA,Technology
Credential Stuffing,MFA,Finance
Malware,IDS,Energy
Malware,EDR,Finance
DDoS,DDoS Mitigation,Government
Phishing,Email Filtering,Healthcare
Business Email Compromise,Email Filtering,Finance
Cross-Site Scripting,SIEM,Manufacturing
Credential Stuffing,Account Lockout,Technology
DDoS,DDoS Mitigation,Retail
Supply Chain Compromise,EDR,Manufacturing
Ransomware,Offline Backups,Education
Ransomware,Offline Backups,Technology
Phishing,MFA,Retail
Business Email Compromise,Email Filtering,Technology
DDoS,DDoS Mitigation,Government
Brute Force,Account Lockout,Finance
Credential Stuffing,MFA,Manufacturing
Phishing,Email Filtering,Education
Cross-Site Scripting,WAF,Retail
Phishing,DMARC,Technology
Zero-Day Exploit,SIEM,Retail
Malware,IDS,Healthcare
Phishing,Email Filtering,Government
Supply Chain Compromise,SIEM,Technology
Phishing,SIEM,Energy
Credential Stuffing,MFA,Healthcare
Business Email Compromise,DMARC,Government
Malware,Antivirus,Education
Business Email Compromise,MFA,Utilities
Brute Force,Account Lockout,Government
Insider Threat,Account Lockout,Retail
Malware,Antivirus,Finance
Ransomware,Antivirus,Manufacturing
Credential Stuffing,SIEM,Finance
Phishing,MFA,Finance
Cross-Site Scripting,WAF,Manufacturing
Zero-Day Exploit,IDS,Retail
Malware,SIEM,Manufacturing
DDoS,CDN Scrubbing,Finance
Ransomware,Offline Backups,Technology
DDoS,CDN Scrubbing,Education
Phishing,MFA,Healthcare
Phishing,Email Filtering,Manufacturing
Phishing,SIEM,Finance
Phishing,Email Filtering,Technology
Phishing,DMARC,Manufacturing
SQL Injection,Database Firewall,Finance
Brute Force,Account Lockout,Education
Phishing,MFA,Government
Phishing,MFA,Healthcare
Supply Chain Compromise,IDS,Healthcare
Phishing,DMARC,Finance
Cross-Site Scripting,WAF,Retail
Business Email Compromise,Email Filtering,Utilities
SQL Injection,Database Firewall,Manufacturing
Phishing,Email Filtering,Finance
Brute Force,MFA,Utilities
DDoS,DDoS Mitigation,Manufacturing
Ransomware,Offline Backups,Utilities
Malware,IDS,Technology
Brute Force,Account Lockout,Retail
DDoS,Firewall,Technology
Cross-Site Scripting,WAF,Energy
Brute Force,SIEM,Education
Credential Stuffing,Account Lockout,Manufacturing
SQL Injection,SIEM,Government
SQL Injection,Database Firewall,Manufacturing
Cross-Site Scripting,WAF,Healthcare
Ransomware,Offline Backups,Finance
Brute Force,MFA,Finance
Phishing,SIEM,Technology
Cross-Site Scripting,Content Security Policy,Healthcare
Phishing,Email Filtering,Manufacturing
Phishing,MFA,Healthcare
Brute Force,Account Lockout,Manufacturing
Ransomware,Antivirus,Healthcare
DDoS,CDN Scrubbing,Energy
DDoS,DDoS Mitigation,Healthcare
DDoS,DDoS Mitigation,Education
Ransomware,EDR,Healthcare
SQL Injection,WAF,Finance
Credential Stuffing,SIEM,Manufacturing
SQL Injection,WAF,Manufacturing
Ransomware,Antivirus,Retail
Phishing,Email Filtering,Healthcare
Phishing,IDS,Healthcare
Ransomware,EDR,Technology
Ransomware,Antivirus,Government
Cross-Site Scripting,WAF,Technology
Ransomware,EDR,Manufacturing
Cross-Site Scripting,WAF,Healthcare
Phishing,Email Filtering,Finance
Credential Stuffing,MFA,Utilities
Supply Chain Compromise,IDS,Manufacturing
Ransomware,Offline Backups,Healthcare
Ransomware,Antivirus,Technology
Ransomware,SIEM,Transportation
Brute Force,Account Lockout,Manufacturing
SQL Injection,Database Firewall,Government
Phishing,Email Filtering,Government
Brute Force,MFA,Healthcare
Ransomware,Antivirus,Government
Business Email Compromise,SIEM,Finance
Brute Force,Account Lockout,Manufacturing
Phishing,DMARC,Healthcare
Ransomware,SIEM,Healthcare
